HPC95,parameter.value,count
0,2185.333333,0
0,2188,0
0,2190.666667,0
0,2193.333333,0
0,2196,0
0,2198.666667,0
0,2201.333333,0
0,2204,0
0,2206.666667,0
0,2209.333333,0
0,2212,0
0,2214.666667,0
0,2217.333333,0
0,2220,0
0,2222.666667,0
0,2225.333333,0
0,2228,0
0,2230.666667,0
0,2233.333333,0
0,2236,0
0,2238.666667,0
0,2241.333333,0
0,2244,0
0,2246.666667,0
0,2249.333333,0
0,2252,0
0,2254.666667,0
0,2257.333333,0
0,2260,0
0,2262.666667,0
0,2265.333333,0
0,2268,0
0,2270.666667,0
0,2273.333333,0
0,2276,0
0,2278.666667,0
0,2281.333333,0
0,2284,0
0,2286.666667,0
0,2289.333333,0
0,2292,0
0,2294.666667,0
0,2297.333333,0
0,2300,0
0,2302.666667,0
0,2305.333333,0
0,2308,0
0,2310.666667,0
0,2313.333333,0
0,2316,0
0,2318.666667,0
0,2321.333333,0
0,2324,0
0,2326.666667,0
0,2329.333333,0
0,2332,0
0,2334.666667,0
0,2337.333333,0
0,2340,0
0,2342.666667,0
0,2345.333333,0
0,2348,0
0,2350.666667,0
0,2353.333333,0
0,2356,0
0,2358.666667,0
0,2361.333333,0
0,2364,0
0,2366.666667,0
0,2369.333333,0
0,2372,0
0,2374.666667,0
0,2377.333333,0
0,2380,0
0,2382.666667,0
0,2385.333333,0
0,2388,0
0,2390.666667,0
0,2393.333333,0
0,2396,0
0,2398.666667,0
0,2401.333333,0
0,2404,0
0,2406.666667,0
0,2409.333333,0
0,2412,0
0,2414.666667,0
0,2417.333333,0
0,2420,0
0,2422.666667,0
0,2425.333333,0
0,2428,0
0,2430.666667,0
0,2433.333333,0
0,2436,0
0,2438.666667,0
0,2441.333333,0
0,2444,0
0,2446.666667,0
0,2449.333333,0
0,2452,0
0,2454.666667,0
0,2457.333333,0
0,2460,0
0,2462.666667,0
0,2465.333333,0
0,2468,0
0,2470.666667,0
0,2473.333333,0
0,2476,0
0,2478.666667,0
0,2481.333333,0
0,2484,0
0,2486.666667,0
0,2489.333333,0
0,2492,0
0,2494.666667,0
0,2497.333333,0
0,2500,0
0,2502.666667,0
0,2505.333333,0
0,2508,0
0,2510.666667,0
0,2513.333333,0
0,2516,0
0,2518.666667,0
0,2521.333333,0
0,2524,0
0,2526.666667,0
0,2529.333333,0
0,2532,0
0,2534.666667,0
0,2537.333333,0
0,2540,0
0,2542.666667,0
0,2545.333333,0
0,2548,0
0,2550.666667,0
0,2553.333333,0
0,2556,0
0,2558.666667,0
0,2561.333333,0
0,2564,0
0,2566.666667,0
0,2569.333333,0
0,2572,0
0,2574.666667,0
0,2577.333333,0
0,2580,0
0,2582.666667,0
0,2585.333333,0
0,2588,0
0,2590.666667,0
0,2593.333333,0
0,2596,0
0,2598.666667,0
0,2601.333333,0
0,2604,0
0,2606.666667,0
0,2609.333333,0
0,2612,0
0,2614.666667,0
0,2617.333333,0
0,2620,0
0,2622.666667,0
0,2625.333333,0
0,2628,0
0,2630.666667,0
0,2633.333333,0
0,2636,0
0,2638.666667,0
0,2641.333333,0
0,2644,0
0,2646.666667,0
0,2649.333333,0
0,2652,0
0,2654.666667,0
0,2657.333333,0
0,2660,0
0,2662.666667,0
0,2665.333333,0
0,2668,0
0,2670.666667,0
0,2673.333333,0
0,2676,0
0,2678.666667,0
0,2681.333333,0
0,2684,0
0,2686.666667,0
0,2689.333333,0
0,2692,0
0,2694.666667,0
0,2697.333333,0
0,2700,0
0,2702.666667,0
0,2705.333333,0
0,2708,0
0,2710.666667,0
0,2713.333333,0
0,2716,0
0,2718.666667,0
0,2721.333333,0
0,2724,0
0,2726.666667,0
0,2729.333333,0
0,2732,0
0,2734.666667,0
0,2737.333333,0
0,2740,0
0,2742.666667,0
0,2745.333333,0
0,2748,0
0,2750.666667,0
0,2753.333333,0
0,2756,0
0,2758.666667,0
0,2761.333333,0
0,2764,0
0,2766.666667,0
0,2769.333333,0
0,2772,0
0,2774.666667,0
0,2777.333333,0
0,2780,0
0,2782.666667,0
0,2785.333333,0
0,2788,0
0,2790.666667,0
0,2793.333333,0
0,2796,0
0,2798.666667,0
0,2801.333333,0
0,2804,0
0,2806.666667,0
0,2809.333333,0
0,2812,0
0,2814.666667,0
0,2817.333333,0
0,2820,0
0,2822.666667,0
0,2825.333333,0
0,2828,0
0,2830.666667,0
0,2833.333333,0
0,2836,0
0,2838.666667,0
0,2841.333333,0
0,2844,0
0,2846.666667,0
0,2849.333333,0
0,2852,0
0,2854.666667,0
0,2857.333333,0
0,2860,0
0,2862.666667,0
0,2865.333333,0
0,2868,0
0,2870.666667,0
0,2873.333333,0
0,2876,0
0,2878.666667,0
0,2881.333333,0
0,2884,0
0,2886.666667,0
0,2889.333333,0
0,2892,0
0,2894.666667,0
0,2897.333333,0
0,2900,0
0,2902.666667,0
0,2905.333333,0
0,2908,0
0,2910.666667,0
0,2913.333333,0
0,2916,0
0,2918.666667,0
0,2921.333333,0
0,2924,0
0,2926.666667,0
0,2929.333333,0
0,2932,0
0,2934.666667,0
0,2937.333333,0
0,2940,0
0,2942.666667,0
0,2945.333333,0
0,2948,0
0,2950.666667,0
0,2953.333333,0
0,2956,0
0,2958.666667,0
0,2961.333333,0
0,2964,0
0,2966.666667,0
0,2969.333333,0
0,2972,0
0,2974.666667,0
0,2977.333333,0
0,2980,0
0,2982.666667,0
0,2985.333333,0
0,2988,0
0,2990.666667,0
0,2993.333333,0
0,2996,0
0,2998.666667,0
0,3001.333333,0
0,3004,0
0,3006.666667,0
0,3009.333333,0
0,3012,0
0,3014.666667,0
0,3017.333333,0
0,3020,0
0,3022.666667,0
0,3025.333333,0
0,3028,0
0,3030.666667,0
0,3033.333333,0
0,3036,0
0,3038.666667,0
0,3041.333333,0
0,3044,0
0,3046.666667,0
0,3049.333333,0
0,3052,0
0,3054.666667,0
0,3057.333333,0
0,3060,0
0,3062.666667,0
0,3065.333333,0
0,3068,0
0,3070.666667,0
0,3073.333333,0
0,3076,0
0,3078.666667,0
0,3081.333333,0
0,3084,0
0,3086.666667,0
0,3089.333333,0
0,3092,0
0,3094.666667,0
0,3097.333333,0
0,3100,0
0,3102.666667,0
0,3105.333333,0
0,3108,0
0,3110.666667,0
0,3113.333333,0
0,3116,0
0,3118.666667,0
0,3121.333333,0
0,3124,0
0,3126.666667,0
0,3129.333333,0
0,3132,0
0,3134.666667,0
0,3137.333333,0
0,3140,0
0,3142.666667,0
0,3145.333333,0
0,3148,0
0,3150.666667,0
0,3153.333333,0
0,3156,0
0,3158.666667,0
0,3161.333333,0
0,3164,0
0,3166.666667,0
0,3169.333333,0
0,3172,0
0,3174.666667,0
0,3177.333333,0
0,3180,0
0,3182.666667,0
0,3185.333333,0
0,3188,0
0,3190.666667,0
0,3193.333333,0
0,3196,0
0,3198.666667,0
0,3201.333333,0
0,3204,0
0,3206.666667,0
0,3209.333333,0
0,3212,0
0,3214.666667,0
0,3217.333333,0
0,3220,0
0,3222.666667,0
0,3225.333333,0
0,3228,0
0,3230.666667,0
0,3233.333333,0
0,3236,0
0,3238.666667,0
0,3241.333333,0
0,3244,0
0,3246.666667,0
0,3249.333333,0
0,3252,0
0,3254.666667,0
0,3257.333333,0
0,3260,0
0,3262.666667,0
0,3265.333333,0
0,3268,0
0,3270.666667,0
0,3273.333333,0
0,3276,0
0,3278.666667,0
0,3281.333333,0
0,3284,0
0,3286.666667,0
0,3289.333333,0
0,3292,0
0,3294.666667,0
0,3297.333333,0
0,3300,0
0,3302.666667,0
0,3305.333333,0
0,3308,0
0,3310.666667,0
0,3313.333333,0
0,3316,0
0,3318.666667,0
0,3321.333333,0
0,3324,0
0,3326.666667,0
0,3329.333333,0
0,3332,0
0,3334.666667,0
0,3337.333333,0
0,3340,0
0,3342.666667,0
0,3345.333333,0
0,3348,0
0,3350.666667,0
0,3353.333333,0
0,3356,0
0,3358.666667,0
0,3361.333333,0
