HPC95,parameter.value,count
1,0.339017,238.83914
1,0.339383,238.90141
1,0.33975,238.92587
1,0.340117,239.02377
1,0.340483,238.97409
1,0.34085,239.01557
1,0.341217,239.11975
1,0.341583,239.12126
1,0.34195,239.20738
1,0.342317,239.3068
1,0.342683,239.28457
1,0.34305,239.31019
1,0.343417,239.3909
1,0.343783,239.30583
1,0.34415,239.214
1,0.344517,239.18246
1,0.344883,239.04841
1,0.34525,239.04554
1,0.345617,239.18118
1,0.345983,239.22544
1,0.34635,239.31495
1,0.346717,239.44155
1,0.347083,239.39813
1,0.34745,239.38819
1,0.347817,239.48071
1,0.348183,239.40467
1,0.34855,239.35012
1,0.348917,239.39514
1,0.349283,239.27839
1,0.34965,239.21305
1,0.350017,239.22374
1,0.350383,239.04275
1,0.35075,238.90155
1,0.351117,238.84571
1,0.351483,238.67588
1,0.35185,238.58766
1,0.352217,238.5238
1,0.352583,238.32916
1,0.35295,238.15318
1,0.353317,238.11805
1,0.353683,237.96031
1,0.35405,237.85459
1,0.354417,237.85046
1,0.354783,237.7301
1,0.35515,237.759
1,0.355517,237.83264
1,0.355883,237.70654
1,0.35625,237.64097
1,0.356617,237.63301
1,0.356983,237.46916
1,0.35735,237.2715
1,0.357717,237.13044
1,0.358083,236.84875
1,0.35845,236.60112
1,0.358817,236.43664
1,0.359183,236.11644
1,0.35955,235.8135
1,0.359917,235.56501
1,0.360283,235.12742
1,0.36065,234.72703
1,0.361017,234.3963
1,0.361383,233.95497
1,0.36175,233.55241
1,0.362117,233.1938
1,0.362483,232.70224
1,0.36285,232.23393
1,0.363217,231.82394
1,0.363583,231.29696
1,0.36395,230.90748
1,0.364317,230.54628
1,0.364683,230.03277
1,0.36505,229.57199
1,0.365417,229.15614
1,0.365783,228.6129
1,0.36615,228.05217
1,0.366517,227.52328
1,0.366883,226.81013
1,0.36725,226.23124
1,0.367617,225.77737
1,0.367983,225.25302
1,0.36835,224.86766
1,0.368717,224.52766
1,0.369083,224.06901
1,0.36945,223.72447
1,0.369817,223.41679
1,0.370183,222.91171
1,0.37055,222.47119
1,0.370917,222.11377
1,0.371283,221.64382
1,0.37165,221.19163
1,0.372017,220.8269
1,0.372383,220.33616
1,0.37275,219.88746
1,0.373117,219.52749
1,0.373483,219.0393
1,0.37385,218.63362
1,0.374217,218.23985
1,0.374583,217.71728
1,0.37495,217.19741
1,0.375317,216.78955
1,0.375683,216.26808
1,0.37605,215.80081
1,0.376417,215.43058
1,0.376783,214.96742
1,0.37715,214.59231
1,0.377517,214.188
1,0.377883,213.6567
1,0.37825,213.21249
1,0.378617,212.82753
1,0.378983,212.26487
1,0.37935,211.71496
1,0.379717,211.19146
1,0.380083,210.48065
1,0.38045,209.77822
1,0.380817,209.16987
1,0.381183,208.48046
1,0.38155,207.8152
1,0.381917,207.23388
1,0.382283,206.50486
1,0.38265,205.83709
1,0.383017,205.27174
1,0.383383,204.60121
1,0.38375,204.00706
1,0.384117,203.44035
1,0.384483,202.7579
1,0.38485,202.12612
1,0.385217,201.61161
1,0.385583,201.0001
1,0.38595,200.48573
1,0.386317,199.99162
1,0.386683,199.33863
1,0.38705,198.73881
1,0.387417,198.27009
1,0.387783,197.72424
1,0.38815,197.21501
1,0.388517,196.78982
1,0.388883,196.19213
1,0.38925,195.62686
1,0.389617,195.09971
1,0.389983,194.46501
1,0.39035,193.90361
1,0.390717,193.37541
1,0.391083,192.77566
1,0.39145,192.20269
1,0.391817,191.66386
1,0.392183,190.96464
1,0.39255,190.30155
1,0.392917,189.7237
1,0.393283,189.06431
1,0.39365,188.43782
1,0.394017,187.87669
1,0.394383,187.17526
1,0.39475,186.51953
1,0.395117,185.94995
1,0.395483,185.29324
1,0.39585,184.68739
1,0.396217,184.09713
1,0.396583,183.40333
1,0.39695,182.72761
1,0.397317,182.10385
1,0.397683,181.38028
1,0.39805,180.72622
1,0.398417,180.14112
1,0.398783,179.49548
1,0.39915,178.93194
1,0.399517,178.33166
1,0.399883,177.64395
1,0.40025,177.05596
1,0.400617,176.49968
1,0.400983,175.80043
1,0.40135,175.19151
1,0.401717,174.63304
1,0.402083,173.93963
1,0.40245,173.2781
1,0.402817,172.66397
1,0.403183,172.03244
1,0.40355,171.44763
1,0.403917,170.92857
1,0.404283,170.28738
1,0.40465,169.67762
1,0.405017,169.11201
1,0.405383,168.43957
1,0.40575,167.79216
1,0.406117,167.1685
1,0.406483,166.44053
1,0.40685,165.78538
1,0.407217,165.25317
1,0.407583,164.63876
1,0.40795,164.05961
1,0.408317,163.49774
1,0.408683,162.79588
1,0.40905,162.11833
1,0.409417,161.51759
1,0.409783,160.80404
1,0.41015,160.14709
1,0.410517,159.60603
1,0.410883,158.97139
1,0.41125,158.36001
1,0.411617,157.7857
1,0.411983,157.11003
1,0.41235,156.44763
1,0.412717,155.86953
1,0.413083,155.20393
1,0.41345,154.53427
1,0.413817,153.91099
1,0.414183,153.21267
1,0.41455,152.50795
1,0.414917,151.88958
1,0.415283,151.17019
1,0.41565,150.4768
1,0.416017,149.80372
1,0.416383,148.99136
1,0.41675,148.21987
1,0.417117,147.51992
1,0.417483,146.74897
1,0.41785,146.03941
1,0.418217,145.32919
1,0.418583,144.52502
1,0.41895,143.73921
1,0.419317,142.98263
1,0.419683,142.12802
1,0.42005,141.31433
1,0.420417,140.54702
1,0.420783,139.71681
1,0.42115,138.98535
1,0.421517,138.30873
1,0.421883,137.57006
1,0.42225,136.91984
1,0.422617,136.29254
1,0.422983,135.55328
1,0.42335,134.86528
1,0.423717,134.23506
1,0.424083,133.56085
1,0.42445,132.92044
1,0.424817,132.33773
1,0.425183,131.70567
1,0.42555,131.14317
1,0.425917,130.66839
1,0.426283,130.10104
1,0.42665,129.57801
1,0.427017,129.09771
1,0.427383,128.52339
1,0.42775,127.95961
1,0.428117,127.45174
1,0.428483,126.85966
1,0.42885,126.3208
1,0.429217,125.81629
1,0.429583,125.24845
1,0.42995,124.67465
1,0.430317,124.13277
1,0.430683,123.4802
1,0.43105,122.865
1,0.431417,122.2632
1,0.431783,121.57419
1,0.43215,120.93762
1,0.432517,120.33805
1,0.432883,119.68637
1,0.43325,119.097
1,0.433617,118.52011
1,0.433983,117.84845
1,0.43435,117.21795
1,0.434717,116.65824
1,0.435083,116.0335
1,0.43545,115.43396
1,0.435817,114.883
1,0.436183,114.27917
1,0.43655,113.69747
1,0.436917,113.14827
1,0.437283,112.5416
1,0.43765,111.987
1,0.438017,111.42929
1,0.438383,110.80476
1,0.43875,110.21961
1,0.439117,109.66975
1,0.439483,109.05561
1,0.43985,108.4842
1,0.440217,107.95799
1,0.440583,107.34675
1,0.44095,106.7851
1,0.441317,106.23446
1,0.441683,105.59783
1,0.44205,104.97731
1,0.442417,104.44455
1,0.442783,103.82744
1,0.44315,103.2465
1,0.443517,102.70096
1,0.443883,102.11328
1,0.44425,101.57235
1,0.444617,101.03545
1,0.444983,100.41928
1,0.44535,99.800186
1,0.445717,99.198662
1,0.446083,98.569214
1,0.44645,97.961227
1,0.446817,97.421478
1,0.447183,96.856979
1,0.44755,96.342636
1,0.447917,95.896576
1,0.448283,95.404037
1,0.44865,94.953049
1,0.449017,94.563965
1,0.449383,94.096687
1,0.44975,93.635422
1,0.450117,93.266495
1,0.450483,92.834457
1,0.45085,92.440598
1,0.451217,92.058273
1,0.451583,91.620659
1,0.45195,91.178978
1,0.452317,90.741081
1,0.452683,90.219826
1,0.45305,89.750099
1,0.453417,89.310669
1,0.453783,88.834549
1,0.45415,88.391891
1,0.454517,87.929733
1,0.454883,87.414978
1,0.45525,86.96035
1,0.455617,86.527496
1,0.455983,86.013412
1,0.45635,85.525879
1,0.456717,85.043427
1,0.457083,84.502861
1,0.45745,83.990776
1,0.457817,83.507317
1,0.458183,82.956322
1,0.45855,82.462692
1,0.458917,82.000519
1,0.459283,81.501114
1,0.45965,81.046608
1,0.460017,80.600441
1,0.460383,80.119064
1,0.46075,79.667648
1,0.461117,79.227753
1,0.461483,78.7603
1,0.46185,78.291931
1,0.462217,77.859367
1,0.462583,77.38884
1,0.46295,76.966698
1,0.463317,76.574661
1,0.463683,76.120506
1,0.46405,75.690086
1,0.464417,75.333504
1,0.464783,74.948792
1,0.46515,74.599365
1,0.465517,74.264717
1,0.465883,73.88916
1,0.46625,73.545464
1,0.466617,73.193329
1,0.466983,72.788689
1,0.46735,72.38134
1,0.467717,71.990417
1,0.468083,71.530144
1,0.46845,71.063545
1,0.468817,70.644264
1,0.469183,70.226448
1,0.46955,69.795486
1,0.469917,69.374962
